token_type,token_address,receiver,amount
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xcFBDB2A4620f33880a1435b6f358fA32F094d89B,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x1694fa1C5C5163D13c4ef53B75D34261FF06aFCA,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x40795f701371a6F892476e356F2011b040897F0F,400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xcFBDB2A4620f33880a1435b6f358fA32F094d89B,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xeB174be4D727eDdb699d33273d27218D84270b85,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x59794f3f39c79B4378803a4dD988992447BFbD8B,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xaC948c37564221dAE29F4CE052046aAAdb6D2b3C,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9Ce7042FBf0595775913Cca1D71501fEA1fA2C18,400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xE968152304Ea291B05574aDF8F1326536B69096b,400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xa7c1dc3f64f2336B0A76CfE4F462FA6398DBF281,300
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x6C8582AC53c4b01949CCDB02Aa0A4C015744312D,1800
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x7900d57715B9f49Fd3E406A976eBe584131bDC1c,200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0ADCbB3c5F4655c3735B29E3ce6011be2c10B478,200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9Ce7042FBf0595775913Cca1D71501fEA1fA2C18,400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x5499A0Ef53a29D9fb48034b1824eAE00A29DFBec,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x783164DFffFa8d141215B5F0B95cb78d0D2eA28A,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x2b4e0dC14043b0B287C04C43c6E7e7fB0273095E,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xa54Bb3324F767B2bdBBb640A7A9BC315cbEA9A89,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x168667B43DEDb87D1d1345A8aEF7DcA16e6b5cea,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9Cf1Df119e0032489c0f3f998AFbdb72d8459790,1000
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x347cDceee806d8b45063B741F6B4fe538458aB74,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x4c498522dA525B581518b167253317736554a80A,200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xEA1fD22D2EDdCAe24271e80a5843a8456bc8A7A9,300
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x40795f701371a6F892476e356F2011b040897F0F,400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xa54Bb3324F767B2bdBBb640A7A9BC315cbEA9A89,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x0253aF22E42674190d0d3BF53863e8076Aaf376D,400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x61387CC2504E4B056Da19aDaeA3AdC5E78f618BC,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x9CB8d9E29De0eCa19B8eD8c141ba542aC78C49f3,400
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x1323256BA92B2e9f7a0b258470Df8bC38957b0f9,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x437abb18bcCd9683Eb1a696C5B9624DbC8599635,500
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xEA1fD22D2EDdCAe24271e80a5843a8456bc8A7A9,300
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x168667B43DEDb87D1d1345A8aEF7DcA16e6b5cea,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x4c498522dA525B581518b167253317736554a80A,200
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0xa54Bb3324F767B2bdBBb640A7A9BC315cbEA9A89,100
erc20,0x4491D1c47bBdE6746F878400090ba6935A91Dab6,0x168667B43DEDb87D1d1345A8aEF7DcA16e6b5cea,100
