receiver,amount
YasuYasu_onFire#2189,1600
bara#2160,500
dongri727#1250,1000
naoyo4#0545,3600
Atsushi Kokubu#1550,1700
Tonny#5693,2300
Kurose#5055,2000
haku#0589,400
shø#0537,1300
masaru#3352,1400
yshimura#7617,400
mashharuki#9415,4700
maki#6853,300
junkei#3092,4500
のーちゃん#1090,3700
totokazu#4878,800
kii#6246,1400
shimomiya_k#2523,3000
haru#5160,800
Kaky#7899,2100
kiyomatcha#6663,4700
Katoten#2669,600
junk#4633,100
kazuyo#7657,600
ysaito#8278,500
T4D4#9381,100
Kazuma#3854,200
uni#3541,200
junya#8799,600
nabe#4266,200
