receiver,amount
shø#0537,1800
Katoten#2669,800
のーちゃん#1090,4300
maki#6853,1400
junya#8799,2600
Yosuke#1286,1100
kenny-ish#5124,1300
shimomiya_k#2523,500
yawn（よ～ん）#7506,1300
haru#5160,200
blacktanktop#9309,600
yutaro#3790,100
Tonny#5693,900
RYU#8896,200
Yamaguchi#9075,100
junkei#3092,1700
Kazuma#3854,300
ysaito#8278,400
haku#0589,400
horori🐣#7504,700
Mameta#1975,100
xxnn#7718,100
Taj Mahal#5317,900
kazuyo#7657,300
goty#3158,700
chelcyyy#6135,400
hanako#7845,800
Kyotaro#3990,200
johnextra#9685,100
ADAM#7178,100
osaguild#1029,900
