receiver,amount
tomoh#4093,1000
guttermouth#5811,1500
shin09,500
セイヤ#8554,500
のーちゃん#1090,1500
mango,500
yasu81524#9577,500
gustave moreau,2000
ichiro,500
ゆ(みろ),1000
タカト,500
masu_camp,500
TJ.nft | Taj Mahal,1500
junya,1000
Sen#2687,1500
gen,500
kazuyo#7657,500
YukiUwa｜0xYuki,1500
shin0903,1000
Booono#0672,500
Katoten#2669,2000
hiromuu,500
yt4#9825,500
Tonny,500
johnextra#9685,1500
haru-quote,1000
dongri727,1000
asagiman,500
kii,500
Kyotaro#3990,500
totokazu,500
Hiroka,500
ユーヤ,500
gen#2473,500
たこやき,500
nobui #9422,500
pinokey,500
Ryo#2537,1000
cerori,500
shori,500
ryuuu,500
myagyu,500
