receiver,amount
mura,3000
KenKen,500
Yosuke#1286,500
sttoy（すっとい）,500
@hamaup#3077,500
dyama#0694,500
cardene,2000
さしもん＃7048,500
hebitsuka,5000
kevinmark,500
mashharuki#9415,500
ny-uta#0551,1500
Uwaizumi.eth#2084,500
hamaup#3077,1000
Crypto9#5894,1000
kazuyo#7657,500
KF/PlaypalDAO,500
dl10yr,500
yamahadev#0694,1000
なすびぼっち,500
kagweb#5661,500
YasuYasu_onFire#2189,500
tomo#0301,500
Booono#0672,500
khatakey#4366,500
Tim (てぃむ),500
https://nearelectiondapp.netlify.app,500
KAYATO #5513,500
entan#1369,500
