receiver,amount
Katoten#2669,500
あいかわ,2500
gen#2473,500
geeknees#6235,1500
takotaro#8346,2500
dongri727,1000
toki,1500
georgesekkie#0108,2500
なべつね,500
KuriManjuu#0573,1000
PAPPY#4315,1000
yokinist,2500
Ryo#2537,1000
tsumichara,500
ahayashi,1000
Planar,500
totokazu,1000
karawapo#4391,500
kii,1500
Tonny,500
Ninomae,500
こん,500
JOJO#8375,500
yawn（よ～ん）,1500
ichiro,1500
dkjym,1000
junya,1500
TamPonTa | STEPN#9254,500
mango,1500
ばや,500
matashita,500
名前は考え中,500
pinokey,500
ichiro#6580,500
nilnull#4865,500
Oishun,500
keisuke,500
YukiUwa｜0xYuki (ID: 0xYuki#2084),500
RYU#8896,1000
とぅるもち,500
yoyoyo,500
Kyotaro#3990,500
myagyu,500
ユーヤ,500
