receiver,amount
Katoten#2669,2700
shø#0537,1700
xxnn#7718,400
junkei#3092,900
yawn（よ～ん）#7506,500
haku#0589,1800
naoyo4#0545,2700
jem#6242,500
maki#6853,500
のーちゃん#1090,300
shimomiya_k#2523,200
Kazuma#3854,300
Yosuke#1286,300
bara#2160,1200
にわとろ#9375,200
Tonny#5693,4200
Mameta#1975,700
khatakey#4366,400
haru#5160,600
mashharuki#9415,900
blacktanktop#9309,200
yshimura#7617,200
yutaro#3790,300
kii#6246,100
YasuYasu_onFire#2189,1700
masaru#3352,600
dongri727#1250,500
Atsushi Kokubu#1550,500
Kurose#5055,1900
