receiver,amount
Yu#7196,500
nomado#2101,1500
simpman,2000
HATY#6735,500
junk#4633,1000
Aru#0850,500
くろたんく（blacktanktop#9309）,500
やっぴ,500
KC,500
goty,500
kenny-ish#5124,500
tai#3943,1000
yawn（よ～ん）#7506,500
DataGu,500
ryotarohada,1000
NAORIKU,500
keit,500
くろたんく (blacktanktop#9309),1000
マブック,500
yyokii#7785,1000
yuk6ra#1783,1500
0xf635736bab5f3b2d6c01304192Da098a760770E2,500
yuta#3790,2000
ばら,500
hebitsuka,500
liu#1718,500
haku#0589,500
junkei,1000
Yamaguchi,500
YasuYasu_onFire#2189,500
mashharuki#9415,500
